Rid;Pid
75773-26740-LB;34507274947000894284170739039890054079811
34339-73469-DD;1896070936231590555277072283632372032138761910438526437052655550494032
54011-96023-OK;19084726224043819915168554269071586239065508974389296650754352466
2244-72747-GF;67796724855649957876432681781365684068541492717907
17957-30003-BH;285146431997759542967688471127433087370922430212475792402495249556082527957240740290247654278437416735648218276412256218617887936048982
43389-17096-KF;855714971851506345305
2002-34561-KI;259339169131369842576938300147124899169963138037768270846770257623239529459220100579192619522530540486312529544755928855106
63367-11983-DJ;82051045721845000443182741686236870725533144251077586519135980067324784213
2504-44007-AF;139486777868753279602487116
33320-81227-MN;556123651742403719549460260197955110380413735251
62440-59688-NJ;4885268876749521258962098431558907570538555657020679798364921160003
68967-37715-HF;1376588117101269599132859918655949796329751552014433310090663562063428071130423639
97979-38840-LN;3273605853304081483564268764320740430909360306473623491442008867264631621817758533
38180-81955-HN;237974183600980334833947550273951590998425776827557805760712540084572619369520247287962055149580112
63660-87622-GK;1250628832449444896010147323187342522270798821212148017410175231223117
27387-51955-DB;2707863294993246977170749770345305454724589927876835569478
63474-79491-NL;45430407398573423077340737779070234904926055315484648333697511235
78084-20738-MG;20982070057805846896006310654354120107331126879866191424217277841851655809350
91317-16257-JD;762129320652239793188950199608275692006158423738132147051232034197718040565958210894
68274-28037-DB;1896070936231590555277072283632372032138761910438526437052655550494032
69769-48009-DF;33139577345324898307748135019056060133954
21666-4918-LM;1662370856425519069365366457147934248080458768345417667069248391916469217739689511625548858421167940202561
22045-72513-HE;853247010250757077569
75254-18562-BG;55407682340820397910184130021851968868783674666278113959715030511777800002755617904619344
2063-7789-BO;23070030003393497930118332010715481034674859471122329847085220047274320715236358539407425
905-28507-GO;240862351772541357170057443878794568
52333-84416-IN;67796724855649900922953304983464430882019287855687
12535-65611-EJ;31359615487075666
50401-33014-MH;1250628832447877341257743467432998674804760684350334598977966360062036
82881-34480-EO;693213003518271226155711941208398198836959887424412436950856
11817-9928-JE;554192051969253969890285104647249261466155620721310734804211472874562903
61746-68518-BJ;2340511785535530115398609551904837
43657-42960-IA;42776158216889849086664198213165281877
95243-20001-GH;705914900460039630919949797226655621832142311226311184966994
29968-9653-BF;119165719769665
21783-68052-KN;2259300440646440902602807441515843
86130-28257-LF;45426447430382820489003837725451641466832076274404360054069823913829716096334
28723-63556-FF;855714971851355549517
50919-91480-IB;2129406161035570276419
48923-74984-LA;320160981106656599365330667942938967608101442940455557067320427688781140
34895-60990-HB;4443126160139873592347787678569206919228304034542085189
93654-84379-HB;1137440296995808077258783882639407939136675857773219898191
82408-35174-LM;134740670723581692647206724
45508-69257-DF;139486777868753279602487116
79471-48968-ND;20982070057805834122032831006970601369781325654157844212544785926035830043206
41836-71920-MK;49946907158255156356946811814290389581771110405996987277940006378605859282728490779175238
33283-88636-LE;9619424412562337918120655864209694282959070579565749591
63370-35624-OO;1796498398802707638608
26813-55880-DM;4885689913348396124331703542120516402618105380888905032814087389514
5183-96112-KG;56080136395173471480996185
7010-70680-FA;37579152220485564600143537782677378851139
76528-76227-MG;4040999701955911986629259498227006686982227
89919-27603-MB;3273605853304081483564268764320740430909360306473623491442008867264631621817758533
48630-14370-IB;14356514917182428590791618382
62543-40284-BD;9620262968444304537636745672309170179233358
26814-5298-OG;4443126160139873592347787678569206919228304034542085189
76367-17037-EB;7310308984314814803
65336-66323-EG;146793563361271736719310694462959863617
52920-15732-BN;10577590996067371004573241290412548950212691859193362756
52585-5864-NH;14356514917167512633295989062
90536-26795-IB;45426447430382820489003837725451641466832076274404360054069823913829716096334
86941-76654-DH;1500797727683676469663448586213430311117745223
39666-22807-DD;20982070057805834122032831006970601369781325654157844212544785926035830043206
99064-65353-KE;7719292778040823405053960021315
92225-62303-OF;1250628832449544604357909428102594236618565149622201205575718559572304
1170-92553-IG;161330645346466478325079325034241017666604307204016817394508104
50895-76296-JG;177471860067928828121808324201933311181299800565063
54809-98309-LJ;30141478937124777425210009939
6667-24651-BA;497976878903750940192579
46794-50871-AM;7023767566824009281
81562-88231-NG;6824815776640861460637308239052215085817684242989211982
70940-430-BI;107118354129219
90711-94912-BI;796678157060313138313959249828466730403127628581503283292356454351056450
26406-19514-LB;237974183600980334833947550273951590998425776827557805760712540084572619369520247287962055149580112
15034-91882-KH;3679296139720534896612092374601
48926-92957-FH;2707863294993246977170749770345305454724589927876835569478
20966-2287-GN;14356514917182428590791618382
23725-83303-FI;56080136395173471480996185
8987-8726-FE;505669499077438579106936847363044689
84716-95928-KB;4045428887654077518269698237100765648996692
60301-70021-OB;1137440296995807639641033645713716971322445832825712306509
51770-46932-EK;264830956467382466284627632905532849387687473744
17540-59554-MM;7596565837153858896
40580-26655-IN;855714971851506345305
70317-1761-FJ;1635020620
933-93899-ME;478510735694
42348-65185-JM;15785155092834838805117945327150861022547
52452-11632-DJ;177462528900677433895862256949493105097367403578920043591918932
25264-2574-LK;8590183748071272332238774879059
31926-21178-EB;30521787509862996
75887-7992-FG;8483733056675026422903608078171659744076104
6084-94035-EK;2239892019062373912342997657211979
87965-7162-MB;1635020620
84505-25280-OE;1034495923700712436756504467207685287508343108
80263-91423-JK;33154131288827085411499088840417126207827
59400-50499-AL;921486581509039374869768923816893521447087851141227329349074674532371165306103082565
35920-79778-IJ;573412356879967721559807400246268229
6950-31233-BM;106733506782901783253119236539043300180
23974-56394-KG;264830956467382283424192182591182327261568783430
74438-67958-OM;74543287304020924878675967339218691426362611067536790676467534
98051-99970-KB;195105106086957505893380581954184622864661924998898494065921308847250608220548298601806
11282-90991-EA;4443126160139867481844929416724745438066436472051101253
18823-87464-II;74543287304020924878675967339218691426362611065859996788744519
62893-84561-HA;9620262968444304537636745672348938172329545
68602-75315-MD;4040999701961535017307904998644847238475604
8990-98288-HM;1250628832447876669301680057907530152996401336893375446843487317747027
71431-81235-HM;56080136395248212082057793
75740-71991-BI;7599104669224299589
36229-99833-LA;1137440296995807641008751793864245301937870393533163127880
1381-4766-FB;425566939244932980941604788646202201091944098135811016421990896440298749718930365078774202360768791439827275
48173-64138-BI;1137440296997122950097295078826240963494242223661259383109
84593-9887-DF;3679296139720534896612092374601
26874-39768-NG;320160981106656600226248736542104116663858228827440749563482610246181190
47931-32842-LM;7020105119142472013
88112-12976-BF;1851881033
67378-80654-OO;9331678291209739598811366271292873912435329274275651917
