numero,ONG,proyecto,presupuesto (US$),tipo,fecha
0,Mertz Group,Haldeman - Sagasca,722591,marcha,1998-06-29
1,"Hayes, Huel And Keebler",Linderos,398534,redes sociales,1988-10-17
2,Auer-Ryan,Julia,111935,redes sociales,2000-08-20
3,Swaniawski-Sawayn,Nuveen AMT-Free Municipal Value Fund,341570,marcha,2017-07-25
4,Predovic Inc,Mantos Blancos,873203,redes sociales,2018-01-08
5,Mckenzie Inc,"Midland States Bancorp, Inc.",884800,marcha,2014-04-10
6,Bernier-Stokes,Inacesa - El Way,766213,redes sociales,2017-11-21
7,"Gerlach, Fritsch And Rippin",Ceragon Networks Ltd.,670439,marcha,2012-01-30
8,Hills-Quitzon,Hamilton Lane Incorporated,759108,redes sociales,2016-10-27
9,Murazik ,"Ellie Mae, Inc.",469232,redes sociales,2016-03-28
10,"Pfannerstill, Powlowski And Kreiger","Western Refining Logistics, LP",189484,redes sociales,1998-09-13
11,"Hayes, Goodwin And Feil",BlackRock Municipal Target Term Trust Inc. (The),596878,marcha,2009-12-23
12,Lueilwitz-Runolfsdottir,Ceragon Networks Ltd.,99184,marcha,2017-12-08
13,Cronin Inc,Garrison Capital Inc.,517273,redes sociales,1996-05-11
14,"Turcotte, Stark And Hauck","PDF Solutions, Inc.",740,marcha,2014-03-23
15,"Stokes, Kilback And Boyle",El Salvador,399825,redes sociales,2013-10-10
16,Ledner-Hoppe,"German American Bancorp, Inc.",823997,marcha,1999-02-26
17,D'Amore And Sons,Carola,8854,marcha,2013-09-09
18,Ebert-Pollich,Central Garden & Pet Company,602303,redes sociales,1975-07-31
19,Hahn-Rohan,"SeaChange International, Inc.",640226,redes sociales,2003-03-23
20,Afs Intercultura,"Cogentix Medical, Inc.",282665,marcha,1996-12-19
21,"Doyle, Mccullough And Friesen","Forterra, Inc.",868568,redes sociales,2018-05-19
22,Ritchie And Sons,El Guindo,659490,redes sociales,1988-04-13
23,"Jacobson, Boyer And Gleichner",The9 Limited,310412,marcha,1962-04-18
24,Cronin Inc,Linderos,509581,redes sociales,2006-09-07
25,"Botsford, Wuckert And Volkman",Imax Corporation,304386,redes sociales,1990-12-19
26,Runolfsson-Morar,Caupolican,556451,marcha,1991-10-27
27,Little-Murazik,Peckett,571301,marcha,1993-10-15
28,"Schiller, Ullrich And Willms",Lota,393361,redes sociales,2008-10-02
29,Bechtelar-Wuckert,PowerShares BuyBack Achievers Portfolio,709695,marcha,2007-05-29
30,Weissnat-Bergstrom,CMP - Los Colorados,306076,redes sociales,2016-12-01
31,Ritchie-Rath,"PrivateBancorp, Inc.",833981,redes sociales,1982-10-01
32,Koch ,El Teniente,606032,redes sociales,1989-12-17
33,Hagenes-Gutmann,Dorado,792841,marcha,2006-09-20
34,"Kutch, Cremin And Mcclure",Michilla,314730,redes sociales,2004-02-26
35,Corkery ,"OraSure Technologies, Inc.",279868,marcha,2000-11-05
36,"Ferry, Stroman And Veum",Manto Verde,67184,redes sociales,1975-07-29
37,Reichert And Sons,Northrop Grumman Corporation,193123,marcha,1990-10-03
38,Feil-Reilly,"Biocept, Inc.",95833,marcha,2012-04-27
39,Klocko Group,Esterline Technologies Corporation,545932,marcha,2002-05-05
40,"Becker, Deckow And O'Keefe",Westpac Banking Corporation,768731,redes sociales,1978-05-10
41,"Lubowitz, Weimann And Lemke",Mackinac Financial Corporation,816121,redes sociales,2005-12-05
42,Daniel Inc,Mantos de la Luna,29592,marcha,2004-05-14
43,Macejkovic-Haag,Lambert,651841,redes sociales,1979-09-02
44,Sanford ,"Shutterstock, Inc.",360797,redes sociales,2005-06-07
45,"Wolff, Russel And Ankunding","Pepsico, Inc.",31189,marcha,2016-04-01
46,"Kling, Effertz And Anderson",Andacollo Cobre,320282,marcha,1978-02-28
47,Wisoky ,Dollar General Corporation,509119,marcha,2019-04-06
48,"Jacobi, Spencer And Mayer",Pupunahue,121538,redes sociales,1993-01-23
49,Barrows Group,"Midland States Bancorp, Inc.",581597,redes sociales,2013-08-14
50,Lubowitz Group,ACF - Lagunas,553740,marcha,2005-03-11
51,Hudson-Mayer,First Trust Senior Loan Fund ETF,343376,redes sociales,2002-08-04
52,Cassin-Mayer,"Financial Engines, Inc.",388677,redes sociales,1981-02-16
53,Thiel And Sons,Andacollo Oro,635227,marcha,2010-12-23
54,Bins-Goldner,Andacollo Cobre,944959,redes sociales,1965-05-30
55,"Cremin, Klocko And Thiel",Marine Petroleum Trust,521976,redes sociales,2019-08-10
56,Bartoletti-Kunde,Ferton,140984,marcha,1962-10-01
57,Lakin-Bruen,Natl Westminster Pfd,904402,redes sociales,2017-11-22
58,Hahn-Rohan,Cerro Casale,732792,redes sociales,1987-02-18
59,"Torphy, Adams And Walter",El Teniente,464454,marcha,2006-12-16
60,Koelpin Group,China Cord Blood Corporation,414098,redes sociales,1986-03-21
61,"Herman, Luettgen And Balistreri",Ferton,518260,redes sociales,2003-01-08
62,Bosco-Kiehn,Biglari Holdings Inc.,220849,marcha,1987-10-11
63,Abbott ,B.O.S. Better Online Solutions,534352,marcha,2014-03-01
64,"Weissnat, Jaskolski And Bins",Elenita,23681,marcha,2010-07-13
65,Lind-Schuppe,Quiborax,952769,marcha,1979-12-11
66,Marvin-Wolff,Tranquilo,230996,marcha,2019-07-20
67,Jacobi-Bergnaum,"Mid-America Apartment Communities, Inc.",58681,marcha,2003-02-22
68,Watsica-Morissette,Elkhorn Commodity Rotation Strategy ETF,703347,redes sociales,2000-02-21
69,"Feil, Lehner And Krajcik",SQM - Maria Elena,363980,redes sociales,1987-05-20
70,Gulgowski-Spinka,Eagle Bulk Shipping Inc.,576273,marcha,2006-09-03
71,O'Hara ,Galectin Therapeutics Inc.,362094,redes sociales,2017-06-02
72,"Moen, Koss And Paucek",Novanta Inc.,213944,marcha,2017-12-10
73,Medhurst-Jones,"Ulta Beauty, Inc.",50582,redes sociales,1993-07-12
