numero,tipo_contenido,duracion
1,spam,11
2,video,23
4,video,3
6,spam,38
8,spam,76
9,audio,6
10,imagenes,65
13,spam,55
15,spam,23
18,spam,20
19,audio,14
21,spam,60
22,spam,83
24,spam,70
25,imagenes,2
28,audio,19
30,audio,63
31,imagenes,75
32,spam,88
34,imagenes,16
36,video,78
40,video,10
41,spam,8
43,video,36
44,imagenes,66
48,video,11
49,video,75
51,spam,57
52,imagenes,23
54,video,89
55,audio,30
57,imagenes,76
58,audio,84
60,imagenes,22
61,imagenes,13
68,imagenes,19
69,video,76
71,imagenes,2
73,video,81
78,video,41
81,imagenes,62
87,imagenes,51
92,spam,72
93,video,47
96,audio,89
97,video,14
99,imagenes,69
100,video,18
101,spam,76
106,spam,30
107,video,87
111,imagenes,51
113,video,82
116,video,6
118,video,11
119,spam,21
120,audio,10
122,spam,79
125,audio,16
133,video,84
135,video,13
136,audio,51
138,imagenes,21
139,video,81
142,video,6
144,video,60
149,spam,17
150,audio,70
153,audio,24
156,spam,68
158,spam,71
159,imagenes,81
164,video,54
167,audio,82
169,video,10
171,audio,13
172,audio,14
173,imagenes,70
175,video,39
176,audio,1
179,video,82
181,audio,34
183,spam,62
185,audio,7
189,spam,13
191,audio,34
192,spam,56
194,imagenes,34
195,spam,53
197,audio,38
198,video,71
199,video,78
200,video,17
201,audio,82
202,video,65
203,video,31
205,video,47
206,audio,88
207,spam,59
209,spam,32
211,imagenes,10
213,imagenes,36
214,spam,69
218,imagenes,86
220,spam,41
221,audio,27
223,video,21
225,video,71
227,imagenes,88
233,imagenes,75
235,imagenes,31
236,video,62
237,video,19
238,spam,80
239,video,76
242,spam,34
244,spam,1
245,audio,20
247,video,9
248,imagenes,54
254,audio,8
255,spam,4
256,video,64
261,audio,37
262,spam,35
263,video,42
266,audio,47
267,imagenes,3
270,spam,87
272,video,89
275,video,68
276,imagenes,53
278,video,84
282,audio,78
283,video,17
286,imagenes,6
287,imagenes,9
289,spam,41
292,spam,29
293,audio,44
294,imagenes,47
295,audio,27
296,video,34
297,audio,1
298,video,14
299,video,74
300,imagenes,73
306,spam,20
309,audio,65
310,audio,65
311,imagenes,12
314,spam,24
315,audio,59
317,imagenes,67
318,spam,40
319,video,47
321,audio,20
322,video,39
324,video,7
325,audio,60
326,video,69
328,video,68
329,spam,80
330,spam,86
333,imagenes,10
334,video,4
335,spam,3
337,imagenes,26
339,audio,52
340,audio,68
342,video,38
345,imagenes,7
346,imagenes,31
348,video,52
349,spam,56
350,audio,84
353,video,14
355,imagenes,64
357,video,51
359,video,61
361,video,15
363,video,15
365,spam,86
368,video,17
372,imagenes,10
373,imagenes,73
374,spam,71
380,audio,24
385,spam,39
389,imagenes,15
390,imagenes,20
392,video,26
395,spam,25
396,spam,48
401,spam,56
402,spam,29
404,spam,11
405,audio,12
406,video,49
409,imagenes,87
412,audio,11
413,audio,66
416,spam,54
417,audio,68
418,video,9
420,spam,34
421,video,50
422,audio,77
424,imagenes,9
425,video,6
427,video,34
429,imagenes,2
435,imagenes,62
436,imagenes,87
442,imagenes,35
443,spam,33
447,video,32
448,video,84
450,imagenes,50
455,imagenes,51
458,spam,72
459,video,20
460,imagenes,18
468,spam,21
471,imagenes,34
473,audio,23
476,video,70
477,imagenes,17
478,spam,6
485,audio,3
487,audio,32
488,imagenes,2
490,spam,88
491,video,12
493,imagenes,26
494,imagenes,70
498,spam,62
499,video,41
502,video,62
503,spam,2
504,imagenes,74
505,video,75
506,imagenes,82
507,spam,34
508,audio,45
509,spam,56
510,video,52
511,spam,73
512,imagenes,86
514,imagenes,52
516,spam,55
521,video,32
523,imagenes,48
524,imagenes,19
525,video,54
527,spam,69
529,spam,4
530,spam,59
531,audio,26
533,spam,77
534,spam,56
539,imagenes,37
540,audio,36
541,audio,58
545,imagenes,66
546,video,25
547,audio,18
548,spam,26
552,imagenes,84
554,audio,22
555,audio,28
556,video,60
557,video,56
558,imagenes,1
559,spam,58
563,audio,82
564,video,28
565,audio,52
566,audio,12
571,audio,86
572,imagenes,14
573,audio,63
577,audio,40
578,audio,66
580,spam,68
581,imagenes,5
583,audio,66
584,audio,89
585,spam,28
588,audio,47
592,video,69
595,imagenes,7
596,spam,71
599,audio,10
602,spam,3
605,spam,85
606,imagenes,27
608,audio,12
609,spam,78
611,imagenes,68
612,spam,23
615,spam,36
616,video,11
617,spam,36
619,spam,88
622,imagenes,75
623,spam,51
624,audio,55
625,audio,76
626,audio,45
627,video,68
628,spam,24
631,spam,43
635,spam,63
636,video,14
637,spam,55
638,imagenes,23
643,video,17
646,imagenes,64
647,imagenes,41
648,imagenes,2
651,spam,81
652,video,14
653,imagenes,10
657,imagenes,69
658,audio,31
660,imagenes,45
662,audio,65
665,audio,82
666,audio,86
667,audio,44
669,spam,31
671,audio,81
672,video,13
673,audio,26
675,video,22
676,spam,6
679,imagenes,28
681,spam,67
682,audio,1
683,spam,82
684,imagenes,76
685,spam,40
686,video,7
688,spam,29
689,spam,52
694,audio,49
695,audio,87
698,audio,43
702,audio,81
703,spam,65
704,video,8
705,video,85
706,imagenes,82
708,audio,25
709,audio,46
710,spam,76
711,audio,57
712,audio,50
713,audio,57
718,video,80
722,spam,73
723,imagenes,70
724,spam,76
725,audio,74
726,spam,59
727,video,17
728,spam,73
729,imagenes,22
730,imagenes,54
733,audio,34
737,spam,19
738,audio,78
739,imagenes,55
741,audio,29
743,imagenes,39
745,audio,46
746,audio,42
747,imagenes,53
754,imagenes,66
755,video,66
757,video,22
758,video,87
760,imagenes,1
763,audio,37
764,spam,50
765,audio,9
766,spam,58
768,imagenes,42
769,video,22
770,imagenes,37
773,imagenes,82
774,imagenes,76
775,video,84
777,video,78
781,audio,45
782,spam,50
783,audio,39
784,video,66
788,audio,12
789,audio,45
790,video,73
791,video,45
792,spam,12
793,video,4
794,audio,31
797,spam,79
799,spam,7
800,spam,61
801,imagenes,50
803,imagenes,7
804,imagenes,7
808,audio,78
809,audio,66
810,audio,8
811,video,85
812,audio,7
815,imagenes,58
816,audio,61
817,spam,77
825,audio,20
828,audio,73
829,imagenes,13
830,imagenes,3
831,imagenes,79
833,video,15
839,audio,57
840,spam,90
842,imagenes,25
846,audio,28
847,imagenes,54
848,imagenes,51
849,imagenes,11
852,imagenes,43
853,spam,19
854,audio,59
855,imagenes,48
856,spam,44
862,imagenes,47
864,imagenes,74
865,imagenes,66
866,imagenes,63
867,imagenes,36
868,video,49
869,imagenes,89
870,audio,77
874,spam,65
875,audio,43
876,video,52
877,audio,32
881,video,52
882,video,74
883,audio,1
886,audio,13
890,video,84
892,video,85
893,video,25
896,spam,21
901,video,57
904,spam,69
905,video,46
911,spam,24
912,spam,58
913,video,3
916,audio,35
919,audio,20
920,audio,17
922,video,75
924,imagenes,73
926,audio,54
928,audio,25
929,video,51
934,video,88
937,video,51
940,imagenes,36
941,video,67
943,audio,22
945,audio,83
949,imagenes,6
951,spam,26
952,audio,80
953,audio,5
955,audio,38
956,video,48
960,spam,35
961,audio,20
965,video,38
968,imagenes,4
969,audio,37
970,audio,3
971,audio,32
972,audio,38
973,video,8
974,spam,68
976,imagenes,31
977,video,2
978,imagenes,30
979,audio,37
980,spam,16
984,imagenes,65
985,imagenes,89
986,imagenes,9
989,audio,15
990,imagenes,68
993,imagenes,13
994,audio,76
995,spam,26
997,video,52
999,spam,80
1000,spam,63
1004,imagenes,14
1005,audio,10
1009,audio,20
1010,audio,10
1014,audio,36
1015,video,33
1016,imagenes,83
1018,imagenes,54
1019,imagenes,9
