numero,fecha_dictamen
75773-26740-LB,2008-11-29
34339-73469-DD,2015-05-14
33320-81227-MN,2016-08-08
68967-37715-HF,2017-05-01
38180-81955-HN,2009-08-07
63660-87622-GK,1992-09-04
63474-79491-NL,2013-12-12
21666-4918-LM,2016-08-23
22045-72513-HE,2012-06-14
75254-18562-BG,2017-12-09
2063-7789-BO,2016-10-13
12535-65611-EJ,2002-09-22
82881-34480-EO,2004-08-09
29968-9653-BF,2016-04-16
21783-68052-KN,2015-08-11
86130-28257-LF,2017-09-21
28723-63556-FF,2018-12-07
50919-91480-IB,1989-06-20
45508-69257-DF,2014-11-09
79471-48968-ND,2007-01-16
33283-88636-LE,2002-10-25
7010-70680-FA,2014-10-06
76528-76227-MG,2008-12-22
89919-27603-MB,2018-03-20
62543-40284-BD,2008-12-25
26814-5298-OG,2019-03-21
65336-66323-EG,2014-04-27
52585-5864-NH,2018-02-13
39666-22807-DD,2017-04-14
54809-98309-LJ,2019-07-07
46794-50871-AM,2017-07-18
70940-430-BI,1995-10-06
26406-19514-LB,2016-09-09
20966-2287-GN,2006-11-03
23725-83303-FI,1998-12-05
8987-8726-FE,2013-12-04
51770-46932-EK,2017-09-02
42348-65185-JM,2017-02-04
6084-94035-EK,2013-12-20
84505-25280-OE,2011-04-13
35920-79778-IJ,1999-04-15
6950-31233-BM,2012-02-19
23974-56394-KG,2016-06-29
74438-67958-OM,2011-05-11
75740-71991-BI,2011-12-01
36229-99833-LA,2005-02-25
48173-64138-BI,2018-10-20
84593-9887-DF,2011-11-18
51931-4621-AL,2099-11-10
39136-17233-HN,2007-04-26
24664-97780-FO,2019-08-26
15045-27259-FJ,2017-10-26
65366-46587-EL,2017-08-20
72733-88690-FH,2017-09-17
33426-96929-BL,2011-01-30
84184-36811-OM,2017-06-05
93640-42901-JL,2014-03-30
13715-63027-LB,2019-08-09
64706-42638-JA,1998-02-21
49811-4830-BB,2018-04-01
44898-65648-NL,2016-10-24
47842-38319-FL,2018-01-05
70840-46159-IA,1996-08-06
16503-37302-BD,2011-11-30
772-77603-DB,1988-12-10
17228-3064-MM,2014-09-22
27069-62591-KF,2014-11-15
3745-30024-FG,2019-05-08
77927-41652-AE,2019-07-19
90429-36681-LM,2016-02-13
56670-69690-NE,2018-02-27
53700-56432-IB,2013-04-23
95580-80242-AG,2016-01-06
11698-17269-GG,2012-01-20
70803-2500-FA,2019-08-12
37724-4760-EE,2018-04-12
51806-27866-EI,1999-12-29
83687-78588-BF,2000-08-04
40525-27952-FH,2005-01-11
87079-72213-HH,2018-08-10
34823-55667-OO,2017-08-11
57366-40429-DK,2018-03-14
50662-64907-DB,2005-11-09
23413-42861-IJ,2018-07-26
99665-71158-BK,2011-10-26
57206-54530-DD,2007-05-22
22773-32540-GK,2019-08-02
54323-48069-BB,2018-07-27
19834-44866-KH,2017-10-13
70956-36162-DE,2018-02-03
56452-53818-KL,1995-06-02
74760-34547-AM,1989-08-07
9382-11896-GJ,2018-06-10
86035-37342-LK,2009-12-24
54666-43312-HG,2017-04-08
54255-53453-LH,2018-12-10
65594-17989-BA,2007-07-29
5606-48994-GG,2015-03-14
40701-75051-OF,2019-05-24
49914-18228-EO,2010-03-20
53092-57870-IK,2016-07-19
88027-9716-IG,2016-04-12
97380-26930-JD,2017-09-08
11641-34307-IJ,2018-06-07
73320-42264-KK,2007-12-25
40868-84822-MB,2012-10-09
47853-21136-BD,2006-09-02
98510-75106-MB,1999-03-30
83333-17784-OI,1991-10-24
