numero,fecha_dictamen
54011-96023-OK,2011-01-22
2244-72747-GF,2016-03-31
17957-30003-BH,2018-11-26
2504-44007-AF,2005-10-06
62440-59688-NJ,2018-02-03
68274-28037-DB,2019-03-09
52333-84416-IN,2018-10-05
50401-33014-MH,2013-11-03
11817-9928-JE,2012-05-28
61746-68518-BJ,2017-12-05
43657-42960-IA,2019-03-13
95243-20001-GH,2015-04-04
34895-60990-HB,1992-05-19
93654-84379-HB,2019-01-04
26813-55880-DM,2019-06-13
5183-96112-KG,2018-09-13
52920-15732-BN,2013-04-19
90536-26795-IB,2019-07-05
99064-65353-KE,2005-08-02
1170-92553-IG,1985-07-16
6667-24651-BA,2016-09-19
81562-88231-NG,1989-10-21
90711-94912-BI,2019-08-10
48926-92957-FH,2016-02-22
84716-95928-KB,2018-09-06
60301-70021-OB,2001-08-01
17540-59554-MM,2013-06-20
70317-1761-FJ,2012-05-21
80263-91423-JK,1995-10-04
59400-50499-AL,2012-12-25
88112-12976-BF,2016-10-13
67378-80654-OO,2018-08-23
19015-83580-IH,2015-09-14
73886-44546-MF,2004-08-10
97192-64062-AO,2010-09-02
2822-26741-BG,2013-04-24
74086-28599-NL,2014-09-24
87206-56691-GM,2013-02-05
27527-47716-IK,1998-05-18
44493-60653-BO,1985-01-19
87180-19666-IF,2019-08-10
74539-38234-JK,2014-07-10
42300-42306-GD,2009-03-11
99914-80641-FK,2002-03-13
23813-70951-DA,2018-04-06
40424-47863-HD,2019-03-04
35774-44847-IM,1995-10-01
4395-52016-DM,2011-06-29
84778-14286-BI,2002-08-02
15489-36709-BL,2019-01-09
95619-82163-MF,2001-07-06
77044-72351-BI,2018-03-25
74461-72782-EB,2016-06-26
18642-73174-BB,2016-02-03
46089-64886-FD,2009-03-28
99473-82631-BE,2019-08-27
46312-65664-OI,2018-04-07
94976-35914-BB,2005-03-16
87920-12322-GM,2011-09-06
75641-27577-KE,2017-06-17
73341-28996-HD,2004-04-01
29414-34696-KF,2014-07-22
37166-48188-KE,2019-08-02
76889-13160-GM,1997-10-31
18261-63848-NB,2011-12-04
46357-59986-GB,2017-01-31
37480-31228-AO,2017-04-08
61983-62485-LB,2018-12-30
28904-6829-DK,2019-06-26
58413-913-LB,1988-10-09
78898-94927-BN,1992-10-12
92680-33292-ID,2009-07-30
54320-63443-IG,1984-12-23
25560-62492-IF,2019-05-17
34379-59717-IF,2012-12-13
84402-80852-OF,2002-04-14
33429-60129-JB,2016-05-02
35514-43848-JL,2009-11-28
25251-67670-BJ,2016-11-18
79002-3443-MF,2019-04-07
73255-18796-LG,2019-06-12
13118-46964-NG,2013-01-12
87267-3789-AN,2018-05-18
91497-47373-AM,2015-09-07
22449-69777-OL,1974-09-25
66157-28678-DB,2017-02-26
72791-38993-ME,2019-06-28
8832-44419-GO,2018-02-16
54278-71074-LM,2015-08-02
78658-80170-BA,2013-09-13
25421-78810-EI,2012-10-24
29342-43591-EJ,2015-02-09
81320-70549-ED,1973-05-15
89035-78027-BK,2012-12-04
77544-16087-ND,2014-05-08
52271-62239-NA,1987-04-25
82175-37613-NA,1989-07-09
46636-91960-GI,2007-01-13
9775-26500-DB,2015-11-09
22519-82571-EB,2018-12-31
75370-89021-KJ,2019-02-16
37596-86844-LJ,2009-11-20
6152-92269-OF,1992-03-10
70903-65750-FN,2018-03-30
26633-65881-KM,2012-08-18
16076-75777-HG,2014-01-30
25509-30252-GB,2017-11-12
90211-78689-NG,2019-08-26
1599-59083-NL,2000-09-20
78386-7425-LB,2019-05-20
37911-51049-GB,2018-02-17
85214-87335-HK,2019-08-16
26458-21930-AO,2017-05-02
39077-17093-IO,2016-11-01
95639-66226-KA,2002-01-13
18723-61185-NL,2018-02-11
47987-72458-NA,2018-10-07
227-34265-AJ,2018-01-22
68232-33256-BE,2011-10-22
37574-50937-IO,2017-05-15
70909-4295-FI,2017-04-11
54728-45409-MH,1997-08-11
50212-33116-MJ,2009-06-10
1870-81037-GN,2013-04-20
7778-81018-OO,2015-09-17
46798-97702-AB,2009-05-11
23331-39321-EA,2019-04-04
24676-34240-MD,2018-11-15
58039-4526-DN,1980-01-05
24514-730-FM,2016-03-06
23788-66193-BD,2018-05-03
5201-79340-GL,2019-03-11
17949-48556-JA,2017-07-23
73862-79566-NH,2018-05-02
79531-56651-LH,2008-02-17
66801-89792-MN,2016-11-23
