ONG,proyecto,presupuesto (US$),tipo,fecha,n_esperado_personas,lugar,tipo_contenido,duración (días)
Mertz Group,Haldeman - Sagasca,722591,marcha,29/06/1998,22186,53 Kensington Alley,NA,NA
"Hayes, Huel And Keebler",Linderos,398534,redes sociales,17/10/1988,NA,NA,spam,11
Auer-Ryan,Julia,111935,redes sociales,20/08/2000,NA,NA,video,23
Swaniawski-Sawayn,Nuveen AMT-Free Municipal Value Fund,341570,marcha,25/07/2017,20155,689 Dexter Circle,NA,NA
Predovic Inc,Mantos Blancos,873203,redes sociales,08/01/2018,NA,NA,video,3
Mckenzie Inc,"Midland States Bancorp, Inc.",884800,marcha,10/04/2014,9327,5 West Terrace,NA,NA
Bernier-Stokes,Inacesa - El Way,766213,redes sociales,21/11/2017,NA,NA,spam,38
"Gerlach, Fritsch And Rippin",Ceragon Networks Ltd.,670439,marcha,30/01/2012,23423,05 Autumn Leaf Crossing,NA,NA
Hills-Quitzon,Hamilton Lane Incorporated,759108,redes sociales,27/10/2016,NA,NA,spam,76
Murazik ,"Ellie Mae, Inc.",469232,redes sociales,28/03/2016,NA,NA,audio,6
"Pfannerstill, Powlowski And Kreiger","Western Refining Logistics, LP",189484,redes sociales,13/09/1998,NA,NA,imagenes,65
"Hayes, Goodwin And Feil",BlackRock Municipal Target Term Trust Inc. (The),596878,marcha,23/12/2009,821,41 Mayer Place,NA,NA
Lueilwitz-Runolfsdottir,Ceragon Networks Ltd.,99184,marcha,08/12/2017,9693,24472 Browning Junction,NA,NA
Cronin Inc,Garrison Capital Inc.,517273,redes sociales,11/05/1996,NA,NA,spam,55
"Turcotte, Stark And Hauck","PDF Solutions, Inc.",740,marcha,23/03/2014,12951,5 Claremont Place,NA,NA
"Stokes, Kilback And Boyle",El Salvador,399825,redes sociales,10/10/2013,NA,NA,spam,23
Ledner-Hoppe,"German American Bancorp, Inc.",823997,marcha,26/02/1999,24004,6 Browning Court,NA,NA
D'Amore And Sons,Carola,8854,marcha,09/09/2013,12232,94 Jenifer Park,NA,NA
Ebert-Pollich,Central Garden & Pet Company,602303,redes sociales,31/07/1975,NA,NA,spam,20
Hahn-Rohan,"SeaChange International, Inc.",640226,redes sociales,23/03/2003,NA,NA,audio,14
Afs Intercultura,"Cogentix Medical, Inc.",282665,marcha,19/12/1996,140,7532 3rd Way,NA,NA
"Doyle, Mccullough And Friesen","Forterra, Inc.",868568,redes sociales,19/05/2018,NA,NA,spam,60
Ritchie And Sons,El Guindo,659490,redes sociales,13/04/1988,NA,NA,spam,83
"Jacobson, Boyer And Gleichner",The9 Limited,310412,marcha,18/04/1962,24013,24 Forest Dale Parkway,NA,NA
Cronin Inc,Linderos,509581,redes sociales,07/09/2006,NA,NA,spam,70
"Botsford, Wuckert And Volkman",Imax Corporation,304386,redes sociales,19/12/1990,NA,NA,imagenes,2
Runolfsson-Morar,Caupolicán,556451,marcha,27/10/1991,3195,8848 Reinke Pass,NA,NA
Little-Murazik,Peckett,571301,marcha,15/10/1993,6706,9 Moose Way,NA,NA
"Schiller, Ullrich And Willms",Lota,393361,redes sociales,02/10/2008,NA,NA,audio,19
Bechtelar-Wuckert,PowerShares BuyBack Achievers Portfolio,709695,marcha,29/05/2007,10592,54644 Trailsway Street,NA,NA
Weissnat-Bergstrom,CMP - Los Colorados,306076,redes sociales,01/12/2016,NA,NA,audio,63
Ritchie-Rath,"PrivateBancorp, Inc.",833981,redes sociales,01/10/1982,NA,NA,imagenes,75
Koch ,El Teniente,606032,redes sociales,17/12/1989,NA,NA,spam,88
Hagenes-Gutmann,Dorado,792841,marcha,20/09/2006,10517,64 2nd Street,NA,NA
"Kutch, Cremin And Mcclure",Michilla,314730,redes sociales,26/02/2004,NA,NA,imagenes,16
