Pid;﻿tipo;nombre;latitud;longitud;region;comuna;fecha apertura
0;2;SolarEdge Technologies, Inc.;-4.061.124.533;-719.763.994;Metropolitana de Santiago;Padre Hurtado;2012-01-18
1;2;Azul S.A.;-383.712.225;-7.254.586.882;VII del Maule;Curanilahue;1963-02-08
2;1;Franke;-4.657.220.413;-705.754.899;II de Antofagasta;Calama;2016-04-09
3;3;AdvisorShares Market Adaptive Unconstrained Income ETF;-1.948.757.504;-7.346.582.409;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico;1992-10-06
4;2;Kilroy Realty Corporation;-4.598.246.139;-7.180.516.601;III de Atacama;Huasco;1962-09-16
5;2;Anheuser-Busch Inbev SA;-5.379.350.998;-6.922.893.626;II de Antofagasta;Antofagasta;1977-05-23
6;3;Clifton Bancorp Inc.;-461.348.098;-7.354.064.138;V de Valparaiso;Valparaiso;1952-02-26
7;1;San Geronimo;-5.093.885.489;-7.178.372.396;IV de Coquimbo;La Higuera;2018-10-08
8;1;Elenita;-5.148.257.045;-6.973.756.147;II de Antofagasta;Ollague;1997-12-16
9;1;Catamutun;-3.822.877.545;-7.453.154.567;XIV de Los Rios;Rio Bueno;2017-04-10
10;3;United States Cellular Corporation;-4.684.178.722;-726.409.599;IV de Coquimbo;La Serena;1993-02-05
11;1;San Jose;-1.708.866.568;-7.075.499.991;III de Atacama;Vallenar;1982-05-28
12;1;Isla Guarello;-4.452.950.651;-7.449.207.624;XII de Magallanes y de la Antartica Chilena;Punta Arenas;1970-02-28
13;1;Las Arenitas;-3.793.703.952;-7.348.497.148;VII del Maule;Curanilahue;1972-09-25
14;2;Park-Ohio Holdings Corp.;-4.185.811.607;-7.268.224.325;IV de Coquimbo;Monte Patria;2002-05-12
15;3;The Community Financial Corporation;-3.033.028.141;-742.415.504;Metropolitana de Santiago;Isla de Maipo;1968-03-07
16;2;National American University Holdings, Inc.;-4.482.845.024;-6.971.109.939;II de Antofagasta;Maria Elena;1959-02-27
17;2;Garrison Capital Inc.;-4.209.990.962;-6.928.519.278;II de Antofagasta;Antofagasta;1955-09-06
18;3;Array BioPharma Inc.;-348.282.871;-6.965.815.707;II de Antofagasta;Taltal;2006-12-22
19;3;Unisys Corporation;-3.155.130.785;-6.811.280.481;I de Tarapaca;Huara;1976-04-24
20;2;PureFunds ETFx HealthTech ETF;-1.830.750.076;-6.871.016.001;II de Antofagasta;Tocopilla;2016-09-11
21;2;Dynex Capital, Inc.;-466.250.247;-7.120.320.602;II de Antofagasta;Calama;1957-03-01
22;3;Walter Investment Management Corp.;-5.336.045.872;-7.165.370.501;III de Atacama;Copiapo;2012-09-03
23;2;Avon Products, Inc.;-4.274.645.755;-7.160.494.713;II de Antofagasta;Tocopilla;1978-02-16
24;2;Clear Channel Outdoor Holdings, Inc.;-2.193.420.356;-7.174.937.316;V de Valparaiso;Quilpue;1989-01-26
25;3;EQT Corporation;-244.253.265;-7.177.113.902;III de Atacama;Vallenar;1985-08-19
26;1;SQM - Mapocho;-3.196.469.031;-6.929.279.809;I de Tarapaca;Huara;1962-06-08
27;1;Las Cenizas;-3.770.085.343;-7.356.228.633;V de Valparaiso;Concon;1977-02-23
28;3;Sportsman's Warehouse Holdings, Inc.;-462.616.331;-7.164.164.013;III de Atacama;Huasco;1990-03-30
29;2;Xenia Hotels & Resorts, Inc.;-51.796.099;-7.247.764.133;IV de Coquimbo;La Higuera;2002-03-20
30;3;Lions Gate Entertainment Corporation;-2.710.631.744;-702.652.307;III de Atacama;Diego de Almagro;1994-10-15
31;1;Inacesa - El Jilguero;-1.744.733.374;-7.047.032.369;III de Atacama;Huasco;1958-09-12
32;1;Don Alberto;-3.266.658.139;-7.334.546.353;IV de Coquimbo;Rio Hurtado;1979-05-11
33;1;Michilla;-2.748.280.116;-7.056.344.947;II de Antofagasta;Mejillones;1956-02-03
34;3;Marine Petroleum Trust;-3.037.095.291;-6.993.180.455;II de Antofagasta;Ollague;2019-04-28
35;1;Tuina;-4.529.357.894;-6.917.026.643;II de Antofagasta;Maria Elena;2007-12-13
36;1;Intracampos;-4.982.821.022;-7.430.242.654;XII de Magallanes y de la Antartica Chilena;Primavera;1979-02-16
37;3;Westpac Banking Corporation;-3.150.027.707;-6.955.187.546;II de Antofagasta;Calama;1974-03-10
38;2;Silicon Laboratories, Inc.;-388.201.632;-7.050.291.327;IV de Coquimbo;Salamanca;2019-04-07
39;2;E*TRADE Financial Corporation;-1.769.804.781;-7.047.765.396;III de Atacama;Vallenar;1990-04-29
40;2;Toll Brothers Inc.;-2.545.210.144;-7.498.904.326;VII del Maule;Los Alamos;1950-06-05
41;1;CMP - Boqueron Chañar;-374.788.188;-7.147.867.599;III de Atacama;Caldera;1982-12-13
