Rid;status;fecha_dictamen
0;aprobado;2008-11-29
1;aprobado;2015-05-14
2;rechazado;2011-01-22
3;rechazado;2016-03-31
4;rechazado;2018-11-26
8;rechazado;2005-10-06
9;aprobado;2016-08-08
10;rechazado;2018-02-03
11;aprobado;2017-05-01
13;aprobado;2009-08-07
14;aprobado;1992-09-04
16;aprobado;2013-12-12
19;rechazado;2019-03-09
21;aprobado;2016-08-23
22;aprobado;2012-06-14
23;aprobado;2017-12-09
24;aprobado;2016-10-13
26;rechazado;2018-10-05
27;aprobado;2002-09-22
28;rechazado;2013-11-03
29;aprobado;2004-08-09
30;rechazado;2012-05-28
31;rechazado;2017-12-05
32;rechazado;2019-03-13
33;rechazado;2015-04-04
34;aprobado;2016-04-16
35;aprobado;2015-08-11
36;aprobado;2017-09-21
37;aprobado;2018-12-07
38;aprobado;1989-06-20
40;rechazado;1992-05-19
41;rechazado;2019-01-04
43;aprobado;2014-11-09
44;aprobado;2007-01-16
46;aprobado;2002-10-25
48;rechazado;2019-06-13
49;rechazado;2018-09-13
50;aprobado;2014-10-06
51;aprobado;2008-12-22
52;aprobado;2018-03-20
54;aprobado;2008-12-25
55;aprobado;2019-03-21
57;aprobado;2014-04-27
58;rechazado;2013-04-19
59;aprobado;2018-02-13
60;rechazado;2019-07-05
62;aprobado;2017-04-14
63;rechazado;2005-08-02
65;rechazado;1985-07-16
67;aprobado;2019-07-07
68;rechazado;2016-09-19
69;aprobado;2017-07-18
70;rechazado;1989-10-21
71;aprobado;1995-10-06
72;rechazado;2019-08-10
73;aprobado;2016-09-09
75;rechazado;2016-02-22
76;aprobado;2006-11-03
77;aprobado;1998-12-05
78;aprobado;2013-12-04
79;rechazado;2018-09-06
80;rechazado;2001-08-01
81;aprobado;2017-09-02
82;rechazado;2013-06-20
84;rechazado;2012-05-21
86;aprobado;2017-02-04
91;aprobado;2013-12-20
93;aprobado;2011-04-13
94;rechazado;1995-10-04
95;rechazado;2012-12-25
96;aprobado;1999-04-15
97;aprobado;2012-02-19
98;aprobado;2016-06-29
99;aprobado;2011-05-11
107;aprobado;2011-12-01
108;aprobado;2005-02-25
110;aprobado;2018-10-20
111;aprobado;2011-11-18
114;rechazado;2016-10-13
115;rechazado;2018-08-23
117;aprobado;1999-11-10
120;rechazado;2015-09-14
121;aprobado;2007-04-26
124;aprobado;2019-08-26
125;rechazado;2004-08-10
126;rechazado;2010-09-02
127;aprobado;2017-10-26
129;rechazado;2013-04-24
130;rechazado;2014-09-24
131;rechazado;2013-02-05
133;rechazado;1998-05-18
134;rechazado;1985-01-19
135;aprobado;2017-08-20
136;rechazado;2019-08-10
138;aprobado;2017-09-17
139;aprobado;2011-01-30
142;rechazado;2014-07-10
143;rechazado;2009-03-11
144;rechazado;2002-03-13
145;aprobado;2017-06-05
146;aprobado;2014-03-30
147;rechazado;2018-04-06
148;aprobado;2019-08-09
149;aprobado;1998-02-21
150;rechazado;2019-03-04
151;rechazado;1995-10-01
154;rechazado;2011-06-29
156;aprobado;2018-04-01
157;rechazado;2002-08-02
159;rechazado;2019-01-09
166;aprobado;2016-10-24
169;aprobado;2018-01-05
170;aprobado;1996-08-06
171;rechazado;2001-07-06
173;rechazado;2018-03-25
175;rechazado;2016-06-26
176;aprobado;2011-11-30
177;aprobado;1988-12-10
178;rechazado;2016-02-03
179;aprobado;2014-09-22
180;aprobado;2014-11-15
183;rechazado;2009-03-28
184;aprobado;2019-05-08
185;aprobado;2019-07-19
187;rechazado;2019-08-27
188;rechazado;2018-04-07
189;aprobado;2016-02-13
190;aprobado;2018-02-27
191;rechazado;2005-03-16
192;aprobado;2013-04-23
195;rechazado;2011-09-06
196;aprobado;2016-01-06
198;rechazado;2017-06-17
199;aprobado;2012-01-20
200;aprobado;2019-08-12
201;rechazado;2004-04-01
202;aprobado;2018-04-12
203;rechazado;2014-07-22
204;rechazado;2019-08-02
205;aprobado;1999-12-29
206;rechazado;1997-10-31
207;aprobado;2000-08-04
208;aprobado;2005-01-11
210;aprobado;2018-08-10
211;aprobado;2017-08-11
213;aprobado;2018-03-14
214;aprobado;2005-11-09
215;rechazado;2011-12-04
216;rechazado;2017-01-31
217;aprobado;2018-07-26
218;rechazado;2017-04-08
221;rechazado;2018-12-30
222;rechazado;2019-06-26
223;rechazado;1988-10-09
224;aprobado;2011-10-26
226;aprobado;2007-05-22
228;rechazado;1992-10-12
230;aprobado;2019-08-02
231;aprobado;2018-07-27
232;rechazado;2009-07-30
233;rechazado;1984-12-23
234;rechazado;2019-05-17
235;rechazado;2012-12-13
240;rechazado;2002-04-14
241;aprobado;2017-10-13
245;aprobado;2018-02-03
246;rechazado;2016-05-02
248;rechazado;2009-11-28
249;rechazado;2016-11-18
250;aprobado;1995-06-02
251;aprobado;1989-08-07
254;rechazado;2019-04-07
255;rechazado;2019-06-12
256;aprobado;2018-06-10
257;aprobado;2009-12-24
258;rechazado;2013-01-12
260;rechazado;2018-05-18
261;aprobado;2017-04-08
263;rechazado;2015-09-07
265;rechazado;1974-09-25
267;rechazado;2017-02-26
268;rechazado;2019-06-28
273;aprobado;2018-12-10
276;aprobado;2007-07-29
278;aprobado;2015-03-14
279;rechazado;2018-02-16
280;aprobado;2019-05-24
282;rechazado;2015-08-02
284;rechazado;2013-09-13
285;rechazado;2012-10-24
286;rechazado;2015-02-09
287;rechazado;1973-05-15
288;rechazado;2012-12-04
289;rechazado;2014-05-08
290;rechazado;1987-04-25
292;aprobado;2010-03-20
293;aprobado;2016-07-19
295;rechazado;1989-07-09
298;rechazado;2007-01-13
301;rechazado;2015-11-09
302;rechazado;2018-12-31
303;rechazado;2019-02-16
304;rechazado;2009-11-20
306;rechazado;1992-03-10
307;aprobado;2016-04-12
308;rechazado;2018-03-30
312;rechazado;2012-08-18
314;aprobado;2017-09-08
316;rechazado;2014-01-30
317;aprobado;2018-06-07
318;rechazado;2017-11-12
320;aprobado;2007-12-25
321;aprobado;2012-10-09
322;aprobado;2006-09-02
323;rechazado;2019-08-26
324;rechazado;2000-09-20
326;aprobado;1999-03-30
328;rechazado;2019-05-20
329;rechazado;2018-02-17
330;rechazado;2019-08-16
331;aprobado;1991-10-24
332;rechazado;2017-05-02
333;aprobado;2015-11-11
334;aprobado;2019-07-09
335;aprobado;2019-05-06
339;rechazado;2016-11-01
