Rid;causa contaminante;area influencia (kms);fecha apertura;region de tramitacion;comuna de tramitacion
0;mal olor;29.76;1995-10-09;VI del Libertador General Bernardo O'Higgins;Doñihue
1;ruido;26.64;2010-09-12;Metropolitana de Santiago;Vitacura
2;contaminacion de agua;41.7;2007-11-02;Metropolitana de Santiago;Paine
3;contaminacion de agua;43.11;2014-03-22;VI del Libertador General Bernardo O'Higgins;Lolol
4;radiacion;36.27;2003-06-10;VI del Libertador General Bernardo O'Higgins;Nancagua
5;contaminacion de la cadena trofica;9.87;1999-08-04;V de Valparaiso;San Felipe
6;contaminacion de suelo;32.43;2015-08-13;VIII del Bio-Bio;Alto Biobio
7;contaminacion del aire;47.9;2019-05-29;IX de La Araucania;Puren
8;contaminacion de agua;33.62;1989-12-17;IX de La Araucania;Traiguen
9;mal olor;40.44;2014-08-08;V de Valparaiso;Olmue
10;contaminacion de agua;34.46;2008-10-04;VIII del Bio-Bio;Contulmo
11;mal olor;2.45;2016-01-23;III de Atacama;Diego de Almagro
12;contaminacion de la cadena trofica;38.58;1992-06-30;XIV de Los Rios;Mariquina
13;destruccion del medio ambiente;46.8;1998-02-22;X de Los Lagos;Maullin
14;mal olor;8.61;1991-12-27;V de Valparaiso;Hijuelas
15;contaminacion del aire;30.2;2015-08-17;Metropolitana de Santiago;Vitacura
16;ruido;10.59;1964-01-10;XII de Magallanes y de La Antartica Chilena;Porvenir
17;contaminacion de suelo;11.46;1997-01-27;VIII del Bio-Bio;San Pedro de la Paz
18;contaminacion del aire;1.82;2010-02-03;Metropolitana de Santiago;Maipu
19;plagas;27.06;2019-02-08;Metropolitana de Santiago;Lampa
20;contaminacion de suelo;0.64;1998-03-28;VII del Maule;Pencahue
21;mal olor;5.44;2012-02-25;VII del Maule;Hualañe
22;ruido;49.22;2007-07-04;VI del Libertador General Bernardo O'Higgins;Rancagua
23;ruido;3.4;2017-09-29;Metropolitana de Santiago;Isla de Maipo
24;mal olor;9.01;2012-03-11;V de Valparaiso;La Ligua
25;contaminacion de suelo;27.72;2003-09-04;III de Atacama;Chañaral
26;radiacion;10.05;2015-03-30;V de Valparaiso;Cabildo
27;mal olor;22.65;1981-01-23;VIII del Bio-Bio;Cañete
28;plagas;5.36;1993-03-31;IX de La Araucania;Pucon
29;destruccion del medio ambiente;5.61;2002-03-15;XVI de Ñuble;Portezuelo
30;plagas;42.09;2012-03-24;VII del Maule;Pencahue
31;plagas;22.42;2014-02-18;VIII del Bio-Bio;Santa Barbara
32;contaminacion de agua;32.75;2005-05-17;II de Antofagasta;Ollague
33;contaminacion de agua;30.65;2010-08-30;VIII del Bio-Bio;Mulchen
34;mal olor;37.09;2014-03-31;IX de La Araucania;Vilcun
35;ruido;11.61;1995-02-05;IX de La Araucania;Pitrufquen
36;mal olor;22.84;2017-05-11;IV de Coquimbo;Paiguano
37;destruccion del medio ambiente;31.06;2012-08-12;VII del Maule;Retiro
38;ruido;29.3;1970-06-24;VI del Libertador General Bernardo O'Higgins;La Estrella
39;contaminacion de la cadena trofica;27.82;2003-11-25;II de Antofagasta;Maria Elena
40;contaminacion de agua;42.3;1976-06-13;X de Los Lagos;Purranque
41;radiacion;11.32;1991-01-21;VIII del Bio-Bio;Tome
42;contaminacion de suelo;7.31;2004-12-25;XI de Aysen del General Carlos Ibañez del Campo;Cochrane
43;mal olor;45;2004-11-02;VIII del Bio-Bio;Lota
44;mal olor;42.19;2000-11-30;VIII del Bio-Bio;Tome
45;contaminacion de la cadena trofica;41.44;2017-03-10;I de Tarapaca;Huara
46;ruido;6.01;2000-09-26;IX de La Araucania;Temuco
47;contaminacion de suelo;36.08;1955-09-09;Metropolitana de Santiago;Lo Espejo
48;radiacion;45.9;2019-04-21;III de Atacama;Caldera
49;contaminacion de agua;29.35;2008-04-10;IX de La Araucania;Carahue
50;destruccion del medio ambiente;40.74;2003-04-06;VI del Libertador General Bernardo O'Higgins;Rengo
51;mal olor;4.23;2001-11-19;Metropolitana de Santiago;Pirque
52;ruido;32.64;2017-09-29;VI del Libertador General Bernardo O'Higgins;Nancagua
53;contaminacion de suelo;3.56;1965-05-28;X de Los Lagos;Ancud
54;mal olor;40.82;1999-04-24;III de Atacama;Alto del Carmen
55;destruccion del medio ambiente;15.96;2018-12-26;V de Valparaiso;Zapallar
56;contaminacion de suelo;28.25;2004-02-22;Metropolitana de Santiago;San Joaquin
57;mal olor;32.36;1996-06-09;Metropolitana de Santiago;Tiltil
58;plagas;8.23;1996-02-17;Metropolitana de Santiago;Peñalolen
59;ruido;6.28;1996-07-27;VIII del Bio-Bio;San Pedro de la Paz
60;contaminacion de agua;40.89;2014-11-24;Metropolitana de Santiago;La Florida
61;contaminacion de la cadena trofica;38.46;1972-02-09;IX de La Araucania;Carahue
62;mal olor;37.89;2004-08-29;XII de Magallanes y de La Antartica Chilena;Primavera
63;plagas;18.7;1992-02-11;Metropolitana de Santiago;Alhue
64;contaminacion de suelo;16.63;2016-11-18;XIV de Los Rios;Mariquina
65;contaminacion de agua;19.37;1982-10-30;Metropolitana de Santiago;Lo Barnechea
66;contaminacion de la cadena trofica;12.04;2007-03-27;VI del Libertador General Bernardo O'Higgins;Peumo
67;ruido;38.52;2018-07-05;XI de Aysen del General Carlos Ibañez del Campo;Guaitecas
68;plagas;26.38;2012-04-02;IX de La Araucania;Nueva Imperial
69;ruido;41.29;1970-03-07;X de Los Lagos;Rio Negro
70;radiacion;40.3;1984-07-13;VII del Maule;San Clemente
71;ruido;35.73;1991-03-02;VII del Maule;Rio Claro
72;plagas;39.57;2019-07-14;XIV de Los Rios;La Union
73;mal olor;24.54;2010-02-13;VI del Libertador General Bernardo O'Higgins;Requinoa
74;contaminacion de la cadena trofica;40.44;2011-06-07;VI del Libertador General Bernardo O'Higgins;Navidad
75;radiacion;21.74;1995-08-15;II de Antofagasta;Taltal
76;destruccion del medio ambiente;24.09;1995-05-18;XVI de Ñuble;Pinto
77;destruccion del medio ambiente;29.61;1974-07-22;IX de La Araucania;Saavedra
78;mal olor;48.08;2005-05-16;IX de La Araucania;Perquenco
79;contaminacion de agua;12.14;2016-05-08;VIII del Bio-Bio;Tucapel
80;radiacion;27.27;1998-12-23;IX de La Araucania;Cunco
81;mal olor;20.6;2012-11-14;VII del Maule;Licanten
82;plagas;43.65;2007-12-30;IV de Coquimbo;Monte Patria
83;contaminacion de la cadena trofica;48.51;2005-01-29;V de Valparaiso;Rinconada
84;plagas;18.28;2007-05-22;I de Tarapaca;Huara
85;contaminacion de la cadena trofica;14.31;2006-09-07;XI de Aysen del General Carlos Ibañez del Campo;Coihaique
86;ruido;25.82;1984-09-12;VIII del Bio-Bio;Los Angeles
87;contaminacion del aire;16.87;2011-01-12;X de Los Lagos;Maullin
88;contaminacion del aire;34.46;1999-10-29;IX de La Araucania;Carahue
89;contaminacion de suelo;28.58;2008-12-13;IX de La Araucania;Pitrufquen
90;contaminacion de suelo;27.7;1990-11-17;VII del Maule;San Clemente
91;destruccion del medio ambiente;23.85;2004-12-11;X de Los Lagos;Quemchi
92;contaminacion del aire;3.38;2012-11-22;VII del Maule;San Rafael
93;ruido;4.68;2003-12-08;VII del Maule;Colbun
94;contaminacion de agua;27.09;1974-07-07;V de Valparaiso;Cabildo
95;radiacion;34.41;1991-01-07;V de Valparaiso;Los Andes
96;ruido;1.9;1994-08-17;VI del Libertador General Bernardo O'Higgins;Peumo
97;destruccion del medio ambiente;29.99;1998-01-09;VI del Libertador General Bernardo O'Higgins;Las Cabras
98;destruccion del medio ambiente;25.06;2009-11-26;X de Los Lagos;Puerto Varas
99;ruido;48.48;2003-02-13;VI del Libertador General Bernardo O'Higgins;Lolol
100;contaminacion de suelo;8.25;1976-01-07;VI del Libertador General Bernardo O'Higgins;Marchihue
101;contaminacion del aire;21.06;2019-01-30;Metropolitana de Santiago;San Ramon
102;contaminacion del aire;22.92;2018-12-22;X de Los Lagos;Frutillar
103;contaminacion del aire;34.19;2010-06-18;XVI de Ñuble;Pinto
104;contaminacion de la cadena trofica;36.45;2006-07-24;VII del Maule;Maule
105;contaminacion de la cadena trofica;26.05;1958-01-09;III de Atacama;Vallenar
106;contaminacion de la cadena trofica;10.54;2014-07-06;VI del Libertador General Bernardo O'Higgins;Coltauco
107;destruccion del medio ambiente;31.1;1979-09-22;VIII del Bio-Bio;Tome
108;mal olor;47.14;1996-12-30;VI del Libertador General Bernardo O'Higgins;Malloa
109;contaminacion de la cadena trofica;23.72;1992-04-28;Metropolitana de Santiago;Isla de Maipo
110;ruido;22.64;2017-12-22;Metropolitana de Santiago;Lo Espejo
111;mal olor;7.35;1992-10-02;VIII del Bio-Bio;Contulmo
112;contaminacion de suelo;42;1991-12-16;XII de Magallanes y de La Antartica Chilena;San Gregorio
113;contaminacion del aire;21.27;1983-10-16;Metropolitana de Santiago;Renca
114;radiacion;36.98;1990-12-20;V de Valparaiso;Panquehue
115;radiacion;21.78;2013-09-04;Metropolitana de Santiago;Maipu
116;contaminacion del aire;5.53;1989-05-18;VIII del Bio-Bio;Nacimiento
117;destruccion del medio ambiente;46.47;1986-06-20;VI del Libertador General Bernardo O'Higgins;Pichidegua
118;contaminacion de suelo;3.17;2017-11-03;VI del Libertador General Bernardo O'Higgins;Olivar
119;contaminacion del aire;24.36;2016-10-21;Metropolitana de Santiago;Lo Prado
120;contaminacion de agua;12.91;2000-05-11;II de Antofagasta;Calama
121;destruccion del medio ambiente;2.03;2004-01-31;VI del Libertador General Bernardo O'Higgins;Graneros
122;contaminacion del aire;32.83;2019-04-24;VII del Maule;Retiro
123;contaminacion de la cadena trofica;32.88;2004-05-11;IX de La Araucania;Saavedra
124;ruido;44.29;2019-07-26;X de Los Lagos;Maullin
125;radiacion;18.95;1978-01-08;Metropolitana de Santiago;Tiltil
126;contaminacion de agua;10.02;2000-11-08;XVI de Ñuble;San Ignacio
127;mal olor;27.14;2007-05-19;VIII del Bio-Bio;Los Alamos
128;contaminacion del aire;42.8;2019-02-11;X de Los Lagos;Futaleufu
129;contaminacion de agua;47.4;2011-05-20;Metropolitana de Santiago;Peñalolen
130;radiacion;39.98;2011-08-10;VII del Maule;Hualañe
131;radiacion;44.2;2006-01-08;I de Tarapaca;Iquique
132;contaminacion de la cadena trofica;12.59;2008-04-30;XVI de Ñuble;Ninhue
133;radiacion;33.31;1994-03-30;Metropolitana de Santiago;Alhue
134;plagas;12.24;1967-12-16;III de Atacama;Diego de Almagro
135;mal olor;36.85;2016-07-15;VIII del Bio-Bio;Chiguayante
136;radiacion;11.57;2019-07-13;IX de La Araucania;Freire
137;contaminacion de la cadena trofica;9.02;2017-07-01;XII de Magallanes y de La Antartica Chilena;Laguna Blanca
138;ruido;17.49;2017-04-25;VII del Maule;San Rafael
139;ruido;10.11;2002-02-03;VI del Libertador General Bernardo O'Higgins;Chimbarongo
140;contaminacion de la cadena trofica;3.42;2008-05-21;V de Valparaiso;Calera
141;contaminacion de la cadena trofica;3.57;2010-03-07;IV de Coquimbo;Salamanca
142;radiacion;16.54;2014-01-14;X de Los Lagos;Palena
143;contaminacion de agua;35.37;1993-11-09;XV de Arica y Parinacota;Camarones
144;contaminacion de agua;39.61;1984-12-31;IX de La Araucania;Lonquimay
145;ruido;19.92;2015-05-12;XIV de Los Rios;Futrono
146;mal olor;40.86;2006-04-10;XIV de Los Rios;Futrono
147;contaminacion de agua;44.26;2016-02-24;X de Los Lagos;Quinchao
148;destruccion del medio ambiente;28.5;2003-07-22;X de Los Lagos;Quellon
149;ruido;48.83;1982-08-28;V de Valparaiso;Villa Alemana
