Rid;status;fecha_dictamen
75773-26740-LB;aprobado;2008-11-29
34339-73469-DD;aprobado;2015-05-14
54011-96023-OK;rechazado;2011-01-22
2244-72747-GF;rechazado;2016-03-31
17957-30003-BH;rechazado;2018-11-26
2504-44007-AF;rechazado;2005-10-06
33320-81227-MN;aprobado;2016-08-08
62440-59688-NJ;rechazado;2018-02-03
68967-37715-HF;aprobado;2017-05-01
38180-81955-HN;aprobado;2009-08-07
63660-87622-GK;aprobado;1992-09-04
63474-79491-NL;aprobado;2013-12-12
68274-28037-DB;rechazado;2019-03-09
21666-4918-LM;aprobado;2016-08-23
22045-72513-HE;aprobado;2012-06-14
75254-18562-BG;aprobado;2017-12-09
2063-7789-BO;aprobado;2016-10-13
52333-84416-IN;rechazado;2018-10-05
12535-65611-EJ;aprobado;2002-09-22
50401-33014-MH;rechazado;2013-11-03
82881-34480-EO;aprobado;2004-08-09
11817-9928-JE;rechazado;2012-05-28
61746-68518-BJ;rechazado;2017-12-05
43657-42960-IA;rechazado;2019-03-13
95243-20001-GH;rechazado;2015-04-04
29968-9653-BF;aprobado;2016-04-16
21783-68052-KN;aprobado;2015-08-11
86130-28257-LF;aprobado;2017-09-21
28723-63556-FF;aprobado;2018-12-07
50919-91480-IB;aprobado;1989-06-20
34895-60990-HB;rechazado;1992-05-19
93654-84379-HB;rechazado;2019-01-04
45508-69257-DF;aprobado;2014-11-09
79471-48968-ND;aprobado;2007-01-16
33283-88636-LE;aprobado;2002-10-25
26813-55880-DM;rechazado;2019-06-13
5183-96112-KG;rechazado;2018-09-13
7010-70680-FA;aprobado;2014-10-06
76528-76227-MG;aprobado;2008-12-22
89919-27603-MB;aprobado;2018-03-20
62543-40284-BD;aprobado;2008-12-25
26814-5298-OG;aprobado;2019-03-21
65336-66323-EG;aprobado;2014-04-27
52920-15732-BN;rechazado;2013-04-19
52585-5864-NH;aprobado;2018-02-13
90536-26795-IB;rechazado;2019-07-05
39666-22807-DD;aprobado;2017-04-14
99064-65353-KE;rechazado;2005-08-02
1170-92553-IG;rechazado;1985-07-16
54809-98309-LJ;aprobado;2019-07-07
6667-24651-BA;rechazado;2016-09-19
46794-50871-AM;aprobado;2017-07-18
81562-88231-NG;rechazado;1989-10-21
70940-430-BI;aprobado;1995-10-06
90711-94912-BI;rechazado;2019-08-10
26406-19514-LB;aprobado;2016-09-09
48926-92957-FH;rechazado;2016-02-22
20966-2287-GN;aprobado;2006-11-03
23725-83303-FI;aprobado;1998-12-05
8987-8726-FE;aprobado;2013-12-04
84716-95928-KB;rechazado;2018-09-06
60301-70021-OB;rechazado;2001-08-01
51770-46932-EK;aprobado;2017-09-02
17540-59554-MM;rechazado;2013-06-20
70317-1761-FJ;rechazado;2012-05-21
42348-65185-JM;aprobado;2017-02-04
6084-94035-EK;aprobado;2013-12-20
84505-25280-OE;aprobado;2011-04-13
80263-91423-JK;rechazado;1995-10-04
59400-50499-AL;rechazado;2012-12-25
35920-79778-IJ;aprobado;1999-04-15
6950-31233-BM;aprobado;2012-02-19
23974-56394-KG;aprobado;2016-06-29
74438-67958-OM;aprobado;2011-05-11
75740-71991-BI;aprobado;2011-12-01
36229-99833-LA;aprobado;2005-02-25
48173-64138-BI;aprobado;2018-10-20
84593-9887-DF;aprobado;2011-11-18
88112-12976-BF;rechazado;2016-10-13
67378-80654-OO;rechazado;2018-08-23
51931-4621-AL;aprobado;1999-11-10
19015-83580-IH;rechazado;2015-09-14
39136-17233-HN;aprobado;2007-04-26
24664-97780-FO;aprobado;2019-08-26
73886-44546-MF;rechazado;2004-08-10
97192-64062-AO;rechazado;2010-09-02
15045-27259-FJ;aprobado;2017-10-26
2822-26741-BG;rechazado;2013-04-24
74086-28599-NL;rechazado;2014-09-24
87206-56691-GM;rechazado;2013-02-05
27527-47716-IK;rechazado;1998-05-18
44493-60653-BO;rechazado;1985-01-19
65366-46587-EL;aprobado;2017-08-20
87180-19666-IF;rechazado;2019-08-10
72733-88690-FH;aprobado;2017-09-17
33426-96929-BL;aprobado;2011-01-30
74539-38234-JK;rechazado;2014-07-10
42300-42306-GD;rechazado;2009-03-11
99914-80641-FK;rechazado;2002-03-13
84184-36811-OM;aprobado;2017-06-05
93640-42901-JL;aprobado;2014-03-30
23813-70951-DA;rechazado;2018-04-06
13715-63027-LB;aprobado;2019-08-09
64706-42638-JA;aprobado;1998-02-21
40424-47863-HD;rechazado;2019-03-04
35774-44847-IM;rechazado;1995-10-01
4395-52016-DM;rechazado;2011-06-29
49811-4830-BB;aprobado;2018-04-01
84778-14286-BI;rechazado;2002-08-02
15489-36709-BL;rechazado;2019-01-09
44898-65648-NL;aprobado;2016-10-24
