latitud;longitud;region;comuna
-4.061.124.533;-719.763.994;Metropolitana de Santiago;Padre Hurtado
-383.712.225;-7.254.586.882;VII del Maule;Curanilahue
-4.657.220.413;-705.754.899;II de Antofagasta;Calama
-1.948.757.504;-7.346.582.409;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico
-4.598.246.139;-7.180.516.601;III de Atacama;Huasco
-5.379.350.998;-6.922.893.626;II de Antofagasta;Antofagasta
-461.348.098;-7.354.064.138;V de Valparaiso;Valparaiso
-5.093.885.489;-7.178.372.396;IV de Coquimbo;La Higuera
-5.148.257.045;-6.973.756.147;II de Antofagasta;Ollague
-3.822.877.545;-7.453.154.567;XIV de Los Rios;Rio Bueno
-4.684.178.722;-726.409.599;IV de Coquimbo;La Serena
-1.708.866.568;-7.075.499.991;III de Atacama;Vallenar
-4.452.950.651;-7.449.207.624;XII de Magallanes y de la Antartica Chilena;Punta Arenas
-3.793.703.952;-7.348.497.148;VII del Maule;Curanilahue
-4.185.811.607;-7.268.224.325;IV de Coquimbo;Monte Patria
-3.033.028.141;-742.415.504;Metropolitana de Santiago;Isla de Maipo
-4.482.845.024;-6.971.109.939;II de Antofagasta;Maria Elena
-4.209.990.962;-6.928.519.278;II de Antofagasta;Antofagasta
-348.282.871;-6.965.815.707;II de Antofagasta;Taltal
-3.155.130.785;-6.811.280.481;I de Tarapaca;Huara
-1.830.750.076;-6.871.016.001;II de Antofagasta;Tocopilla
-466.250.247;-7.120.320.602;II de Antofagasta;Calama
-5.336.045.872;-7.165.370.501;III de Atacama;Copiapo
-4.274.645.755;-7.160.494.713;II de Antofagasta;Tocopilla
-2.193.420.356;-7.174.937.316;V de Valparaiso;Quilpue
-244.253.265;-7.177.113.902;III de Atacama;Vallenar
-3.196.469.031;-6.929.279.809;I de Tarapaca;Huara
-3.770.085.343;-7.356.228.633;V de Valparaiso;Concon
-462.616.331;-7.164.164.013;III de Atacama;Huasco
-51.796.099;-7.247.764.133;IV de Coquimbo;La Higuera
-2.710.631.744;-702.652.307;III de Atacama;Diego de Almagro
-1.744.733.374;-7.047.032.369;III de Atacama;Huasco
-3.266.658.139;-7.334.546.353;IV de Coquimbo;Rio Hurtado
-2.748.280.116;-7.056.344.947;II de Antofagasta;Mejillones
-3.037.095.291;-6.993.180.455;II de Antofagasta;Ollague
-4.529.357.894;-6.917.026.643;II de Antofagasta;Maria Elena
-4.982.821.022;-7.430.242.654;XII de Magallanes y de la Antartica Chilena;Primavera
-3.150.027.707;-6.955.187.546;II de Antofagasta;Calama
-388.201.632;-7.050.291.327;IV de Coquimbo;Salamanca
-1.769.804.781;-7.047.765.396;III de Atacama;Vallenar
-2.545.210.144;-7.498.904.326;VII del Maule;Los Alamos
-374.788.188;-7.147.867.599;III de Atacama;Caldera
-3.813.105.043;-7.283.364.805;XII de Magallanes y de la Antartica Chilena;Cabo de Hornos
-2.308.275.252;-6.942.137.751;I de Tarapaca;Iquique
-1.607.171.874;-7.126.601.916;II de Antofagasta;Taltal
-4.007.139.215;-708.392.399;II de Antofagasta;San Pedro de Atacama
-3.887.962.997;-7.156.971.803;III de Atacama;Diego de Almagro
-3.082.234.614;-6.838.792.591;I de Tarapaca;Huara
-2.439.457.601;-7.224.669.649;XIV de Los Rios;Panguipulli
-4.638.747.254;-7.075.437.214;I de Tarapaca;Camiña
-5.096.642.298;-7.049.199.065;III de Atacama;Tierra Amarilla
-2.759.189.821;-7.120.349.032;III de Atacama;Diego de Almagro
-2.839.381.633;-73.986.472;XII de Magallanes y de la Antartica Chilena;San Gregorio
-4.364.479.261;-7.381.374.064;IV de Coquimbo;Ovalle
-1.995.010.196;-7.364.662.812;Metropolitana de Santiago;Maria Pinto
-242.080.116;-6.850.685.053;I de Tarapaca;Pica
-1.863.187.163;-7.291.612.967;VIII del Bio-Bio;Santa Barbara
-2.911.125.862;-7.123.158.585;II de Antofagasta;Maria Elena
-2.959.632.621;-7.303.948.187;VIII del Bio-Bio;Yumbel
-4.714.991.504;-7.168.093.803;IV de Coquimbo;Combarbala
-3.529.287.156;-71.086.893;II de Antofagasta;Antofagasta
-3.126.504.384;-6.884.962.811;II de Antofagasta;Taltal
-5.124.200.404;-7.028.150.702;I de Tarapaca;Colchane
-5.214.362.392;-7.216.782.523;IV de Coquimbo;Andacollo
-4.264.166.805;-6.965.466.815;II de Antofagasta;San Pedro de Atacama
-1.715.562.623;-7.295.433.214;XII de Magallanes y de la Antartica Chilena;Porvenir
-5.343.772.961;-7.202.622.649;III de Atacama;Freirina
-2.369.506.956;-6.947.807.235;I de Tarapaca;Iquique
-2.356.366.992;-7.274.754.506;V de Valparaiso;Juan Fernandez
-5.105.668.234;-6.994.491.088;I de Tarapaca;Colchane
-2.746.471.657;-7.145.300.923;II de Antofagasta;Mejillones
-2.999.809.319;-7.358.981.351;V de Valparaiso;Quintero
-4.271.445.035;-7.047.732.534;II de Antofagasta;Mejillones
-3.756.572.452;-7.273.158.473;III de Atacama;Caldera
-3.031.364.111;-734.247.602;Metropolitana de Santiago;Isla de Maipo
-2.153.551.614;-7.207.976.852;V de Valparaiso;Quilpue
-1.799.072.303;-7.316.470.936;Metropolitana de Santiago;Talagante
-3.313.604.943;-6.934.122.626;I de Tarapaca;Huara
-3.735.857.076;-7.131.032.115;III de Atacama;Caldera
-4.817.720.516;-7.338.634.755;Metropolitana de Santiago;El Monte
-4.731.394.603;-7.123.903.468;II de Antofagasta;Sierra Gorda
-4.718.797.047;-7.354.860.045;VII del Maule;Contulmo
-1.929.980.419;-7.051.275.141;III de Atacama;Chañaral
-3.870.897.824;-6.963.632.309;III de Atacama;Caldera
-3.007.242.537;-718.258.599;III de Atacama;Alto del Carmen
-2.389.837.221;-6.822.308.586;I de Tarapaca;Pica
-4.276.191.411;-7.115.455.864;II de Antofagasta;Antofagasta
-2.269.430.514;-7.158.466.488;V de Valparaiso;Quilpue
-5.131.250.495;-7.209.715.256;III de Atacama;Copiapo
-1.985.382.799;-741.091.388;XII de Magallanes y de la Antartica Chilena;Natales
-3.042.536.025;-7.020.419.998;II de Antofagasta;Maria Elena
-2.920.278.204;-7.396.821.118;VIII del Bio-Bio;Yumbel
-4.985.799.239;-7.276.516.535;XII de Magallanes y de la Antartica Chilena;Laguna Blanca
-2.334.368.456;-7.194.105.884;IV de Coquimbo;Punitaqui
-2.411.799.631;-6.935.044.973;I de Tarapaca;Iquique
-4.736.444.382;-7.338.158.073;VII del Maule;Cañete
-4.128.151.908;-7.289.936.633;Metropolitana de Santiago;Padre Hurtado
-2.396.324.697;-6.869.023.905;I de Tarapaca;Iquique
-2.963.681.473;-6.907.867.499;II de Antofagasta;Taltal
-3.276.774.456;-7.294.945.547;IV de Coquimbo;Los Vilos
-4.720.950.153;-7.076.035.423;II de Antofagasta;Maria Elena
-5.487.199.607;-7.054.691.361;II de Antofagasta;Taltal
-4.311.047.715;-7.003.352.768;I de Tarapaca;Pica
-3.231.321.107;-6.975.707.645;II de Antofagasta;Calama
-3.873.928.048;-693.541.644;XV de Arica y Parinacota;Arica
-4.376.417.517;-6.946.927.861;I de Tarapaca;Pica
-3.300.192.116;-7.380.536.773;IV de Coquimbo;Los Vilos
-3.049.406.062;-7.009.795.413;II de Antofagasta;Taltal
-4.667.054.079;-7.297.304.111;VII del Maule;Contulmo
-3.914.820.194;-7.240.334.635;IV de Coquimbo;Paiguano
-4.159.030.839;-6.917.650.406;II de Antofagasta;Antofagasta
-4.643.036.646;-7.141.331.194;II de Antofagasta;Calama
-4.658.411.776;-7.365.920.956;VII del Maule;Cañete
-4.173.703.364;-7.112.153.259;II de Antofagasta;Mejillones
-4.537.989.704;-6.954.898.275;XV de Arica y Parinacota;Camarones
-3.138.911.698;-6.924.544.403;II de Antofagasta;Taltal
-2.233.954.425;-716.613.863;III de Atacama;Huasco
-3.444.832.831;-7.348.296.944;XII de Magallanes y de la Antartica Chilena;Timaukel
