numero;causa contaminante;area influencia (kms);fecha apertura;region de tramitacion;comuna de tramitacion
75773-26740-LB;mal olor;29.76;09-10-1995;VI del Libertador General Bernardo O'Higgins;Doñihue
34339-73469-DD;ruido;26.64;12-09-2010;Metropolitana de Santiago;Vitacura
54011-96023-OK;contaminacion de agua;41.7;02-11-2007;Metropolitana de Santiago;Paine
2244-72747-GF;contaminacion de agua;43.11;22-03-2014;VI del Libertador General Bernardo O'Higgins;Lolol
17957-30003-BH;radiacion;36.27;10-06-2003;VI del Libertador General Bernardo O'Higgins;Nancagua
43389-17096-KF;contaminacion de la cadena trofica;9.87;04-08-1999;V de Valparaiso;San Felipe
2002-34561-KI;contaminacion de suelo;32.43;13-08-2015;VIII del Bio-Bio;Alto Biobio
63367-11983-DJ;contaminacion del aire;47.9;29-05-2019;IX de La Araucania;Puren
2504-44007-AF;contaminacion de agua;33.62;17-12-1989;IX de La Araucania;Traiguen
33320-81227-MN;mal olor;40.44;08-08-2014;V de Valparaiso;Olmue
62440-59688-NJ;contaminacion de agua;34.46;04-10-2008;VIII del Bio-Bio;Contulmo
68967-37715-HF;mal olor;2.45;23-01-2016;III de Atacama;Diego de Almagro
97979-38840-LN;contaminacion de la cadena trofica;38.58;30-06-1992;XIV de Los Rios;Mariquina
38180-81955-HN;destruccion del medio ambiente;46.8;22-02-1998;X de Los Lagos;Maullin
63660-87622-GK;mal olor;8.61;27-12-1991;V de Valparaiso;Hijuelas
27387-51955-DB;contaminacion del aire;30.2;17-08-2015;Metropolitana de Santiago;Vitacura
63474-79491-NL;ruido;10.59;10-01-1964;XII de Magallanes y de La Antartica Chilena;Porvenir
78084-20738-MG;contaminacion de suelo;11.46;27-01-1997;VIII del Bio-Bio;San Pedro de la Paz
91317-16257-JD;contaminacion del aire;1.82;03-02-2010;Metropolitana de Santiago;Maipu
68274-28037-DB;plagas;27.06;08-02-2019;Metropolitana de Santiago;Lampa
69769-48009-DF;contaminacion de suelo;0.64;28-03-1998;VII del Maule;Pencahue
21666-4918-LM;mal olor;5.44;25-02-2012;VII del Maule;Hualañe
22045-72513-HE;ruido;49.22;04-07-2007;VI del Libertador General Bernardo O'Higgins;Rancagua
75254-18562-BG;ruido;3.4;29-09-2017;Metropolitana de Santiago;Isla de Maipo
2063-7789-BO;mal olor;9.01;11-03-2012;V de Valparaiso;La Ligua
905-28507-GO;contaminacion de suelo;27.72;04-09-2003;III de Atacama;Chañaral
52333-84416-IN;radiacion;10.05;30-03-2015;V de Valparaiso;Cabildo
12535-65611-EJ;mal olor;22.65;23-01-1981;VIII del Bio-Bio;Cañete
50401-33014-MH;plagas;5.36;31-03-1993;IX de La Araucania;Pucon
82881-34480-EO;destruccion del medio ambiente;5.61;15-03-2002;XVI de Ñuble;Portezuelo
11817-9928-JE;plagas;42.09;24-03-2012;VII del Maule;Pencahue
61746-68518-BJ;plagas;22.42;18-02-2014;VIII del Bio-Bio;Santa Barbara
43657-42960-IA;contaminacion de agua;32.75;17-05-2005;II de Antofagasta;Ollague
95243-20001-GH;contaminacion de agua;30.65;30-08-2010;VIII del Bio-Bio;Mulchen
29968-9653-BF;mal olor;37.09;31-03-2014;IX de La Araucania;Vilcun
21783-68052-KN;ruido;11.61;05-02-1995;IX de La Araucania;Pitrufquen
86130-28257-LF;mal olor;22.84;11-05-2017;IV de Coquimbo;Paiguano
28723-63556-FF;destruccion del medio ambiente;31.06;12-08-2012;VII del Maule;Retiro
50919-91480-IB;ruido;29.3;24-06-1970;VI del Libertador General Bernardo O'Higgins;La Estrella
48923-74984-LA;contaminacion de la cadena trofica;27.82;25-11-2003;II de Antofagasta;Maria Elena
34895-60990-HB;contaminacion de agua;42.3;13-06-1976;X de Los Lagos;Purranque
93654-84379-HB;radiacion;11.32;21-01-1991;VIII del Bio-Bio;Tome
82408-35174-LM;contaminacion de suelo;7.31;25-12-2004;XI de Aysen del General Carlos Ibañez del Campo;Cochrane
45508-69257-DF;mal olor;45;02-11-2004;VIII del Bio-Bio;Lota
79471-48968-ND;mal olor;42.19;30-11-2000;VIII del Bio-Bio;Tome
41836-71920-MK;contaminacion de la cadena trofica;41.44;10-03-2017;I de Tarapaca;Huara
33283-88636-LE;ruido;6.01;26-09-2000;IX de La Araucania;Temuco
63370-35624-OO;contaminacion de suelo;36.08;09-09-1955;Metropolitana de Santiago;Lo Espejo
26813-55880-DM;radiacion;45.9;21-04-2019;III de Atacama;Caldera
5183-96112-KG;contaminacion de agua;29.35;10-04-2008;IX de La Araucania;Carahue
7010-70680-FA;destruccion del medio ambiente;40.74;06-04-2003;VI del Libertador General Bernardo O'Higgins;Rengo
76528-76227-MG;mal olor;4.23;19-11-2001;Metropolitana de Santiago;Pirque
89919-27603-MB;ruido;32.64;29-09-2017;VI del Libertador General Bernardo O'Higgins;Nancagua
48630-14370-IB;contaminacion de suelo;3.56;28-05-1965;X de Los Lagos;Ancud
62543-40284-BD;mal olor;40.82;24-04-1999;III de Atacama;Alto del Carmen
26814-5298-OG;destruccion del medio ambiente;15.96;26-12-2018;V de Valparaiso;Zapallar
76367-17037-EB;contaminacion de suelo;28.25;22-02-2004;Metropolitana de Santiago;San Joaquin
65336-66323-EG;mal olor;32.36;09-06-1996;Metropolitana de Santiago;Tiltil
52920-15732-BN;plagas;8.23;17-02-1996;Metropolitana de Santiago;Peñalolen
52585-5864-NH;ruido;6.28;27-07-1996;VIII del Bio-Bio;San Pedro de la Paz
90536-26795-IB;contaminacion de agua;40.89;24-11-2014;Metropolitana de Santiago;La Florida
86941-76654-DH;contaminacion de la cadena trofica;38.46;09-02-1972;IX de La Araucania;Carahue
39666-22807-DD;mal olor;37.89;29-08-2004;XII de Magallanes y de La Antartica Chilena;Primavera
99064-65353-KE;plagas;18.7;11-02-1992;Metropolitana de Santiago;Alhue
92225-62303-OF;contaminacion de suelo;16.63;18-11-2016;XIV de Los Rios;Mariquina
1170-92553-IG;contaminacion de agua;19.37;30-10-1982;Metropolitana de Santiago;Lo Barnechea
50895-76296-JG;contaminacion de la cadena trofica;12.04;27-03-2007;VI del Libertador General Bernardo O'Higgins;Peumo
54809-98309-LJ;ruido;38.52;05-07-2018;XI de Aysen del General Carlos Ibañez del Campo;Guaitecas
6667-24651-BA;plagas;26.38;02-04-2012;IX de La Araucania;Nueva Imperial
46794-50871-AM;ruido;41.29;07-03-1970;X de Los Lagos;Rio Negro
81562-88231-NG;radiacion;40.3;13-07-1984;VII del Maule;San Clemente
70940-430-BI;ruido;35.73;02-03-1991;VII del Maule;Rio Claro
90711-94912-BI;plagas;39.57;14-07-2019;XIV de Los Rios;La Union
26406-19514-LB;mal olor;24.54;13-02-2010;VI del Libertador General Bernardo O'Higgins;Requinoa
15034-91882-KH;contaminacion de la cadena trofica;40.44;07-06-2011;VI del Libertador General Bernardo O'Higgins;Navidad
48926-92957-FH;radiacion;21.74;15-08-1995;II de Antofagasta;Taltal
20966-2287-GN;destruccion del medio ambiente;24.09;18-05-1995;XVI de Ñuble;Pinto
23725-83303-FI;destruccion del medio ambiente;29.61;22-07-1974;IX de La Araucania;Saavedra
8987-8726-FE;mal olor;48.08;16-05-2005;IX de La Araucania;Perquenco
84716-95928-KB;contaminacion de agua;12.14;08-05-2016;VIII del Bio-Bio;Tucapel
60301-70021-OB;radiacion;27.27;23-12-1998;IX de La Araucania;Cunco
51770-46932-EK;mal olor;20.6;14-11-2012;VII del Maule;Licanten
17540-59554-MM;plagas;43.65;30-12-2007;IV de Coquimbo;Monte Patria
40580-26655-IN;contaminacion de la cadena trofica;48.51;29-01-2005;V de Valparaiso;Rinconada
70317-1761-FJ;plagas;18.28;22-05-2007;I de Tarapaca;Huara
933-93899-ME;contaminacion de la cadena trofica;14.31;07-09-2006;XI de Aysen del General Carlos Ibañez del Campo;Coihaique
42348-65185-JM;ruido;25.82;12-09-1984;VIII del Bio-Bio;Los Angeles
52452-11632-DJ;contaminacion del aire;16.87;12-01-2011;X de Los Lagos;Maullin
